"92744560","92744575","DCH","NL","Netherlands (Kingdom of the)","Zuid-Holland","Rotterdam"
"92779859","92779859","PUB","FR","France","Hauts-de-France","Roubaix"
"93369171","93369171","PUB","LV","Latvia","Riga","Riga"
"93674137","93674137","PUB","BA","Bosnia and Herzegovina","Federacija Bosne i Hercegovine","Gracanica"
"93707227","93707232","DCH","UA","Ukraine","Sevastopol","Sevastopol"
"93723100","93723100","PUB","GB","United Kingdom of Great Britain and Northern Ireland","England","London"
"93726722","93726722","PUB","GB","United Kingdom of Great Britain and Northern Ireland","England","London"
"93908812","93908843","DCH","BA","Bosnia and Herzegovina","Republika Srpska","Bijeljina"
"94267146","94267146","PUB","RU","Russian Federation","Krasnodarskiy kray","Lenina"
"94437330","94437330","PUB","IR","Iran (Islamic Republic of)","Tehran","Tehran"
"94475466","94475466","PUB","US","United States of America","Virginia","Ashburn"
"95390788","95390795","DCH","NL","Netherlands (Kingdom of the)","Limburg","Kerkrade"
"95581280","95582207","DCH","NL","Netherlands (Kingdom of the)","Groningen","Menterwolde"
"95711999","95711999","DCH","AT","Austria","Wien","Vienna"
"95748709","95748713","DCH","HR","Croatia","Grad Zagreb","Zagreb"
"95791495","95791495","DCH","MX","Mexico","Ciudad de Mexico","Mexico City"
"95822907","95822907","PUB","RU","Russian Federation","Moskovskaya oblast'","Dorokhovo"
"95918112","95918112","PUB","RU","Russian Federation","Rostovskaya oblast'","Rostov-na-Donu"
"96141701","96141701","PUB","DE","Germany","Hessen","Frankfurt am Main"
"96242848","96242848","VPN","RU","Russian Federation","Moskva","Moscow"
"96263019","96263019","PUB","RU","Russian Federation","Sankt-Peterburg","Saint Petersburg"
"96323957","96323957","PUB","RU","Russian Federation","Krasnoyarskiy kray","Krasnoyarsk"
"96747008","96747031","DCH","FR","France","Hauts-de-France","Roubaix"
"96775356","96775443","DCH","FR","France","Hauts-de-France","Roubaix"
"96962008","96962079","DCH","DE","Germany","Nordrhein-Westfalen","Dusseldorf"
"98502656","98503711","DCH","SG","Singapore","Singapore","Singapore"
"98836099","98836122","DCH","RU","Russian Federation","Moskva","Moscow"
"98849408","98849408","PUB","RU","Russian Federation","Moskva","Moscow"
"98857868","98857870","PUB","RU","Russian Federation","Moskva","Moscow"
"99009280","99009535","VPN","DE","Germany","Bayern","Soden"
"100246103","100246113","DCH","DE","Germany","Baden-Wurttemberg","Munster"
"100441533","100441533","PUB","AE","United Arab Emirates","Dubayy","Dubai"
