"281470737746822","281470737746822","PUB","US","United States of America","Virginia","Ashburn","Amazon Technologies Inc.","amazon.com"
"281470737784071","281470737784071","PUB","US","United States of America","Virginia","Ashburn","Amazon Technologies Inc.","amazon.com"
"281470737816147","281470737816147","PUB","US","United States of America","Virginia","Ashburn","Amazon Technologies Inc.","amazon.com"
"281470737847972","281470737847972","PUB","US","United States of America","Virginia","Ashburn","Amazon Technologies Inc.","amazon.com"
"281470737885035","281470737885035","PUB","US","United States of America","Virginia","Ashburn","Amazon Technologies Inc.","amazon.com"
"281470737922056","281470737922056","PUB","US","United States of America","Virginia","Ashburn","Amazon Technologies Inc.","amazon.com"
"281470737958373","281470737958373","PUB","US","United States of America","Virginia","Ashburn","Amazon Technologies Inc.","amazon.com"
"281470738002356","281470738002356","PUB","US","United States of America","Virginia","Ashburn","Amazon Technologies Inc.","amazon.com"
"281470738044965","281470738044969","DCH","US","United States of America","Virginia","Ashburn","Amazon Technologies Inc.","amazon.com"
"281470738093709","281470738093709","PUB","US","United States of America","Virginia","Ashburn","Amazon Technologies Inc.","amazon.com"
"281470738145948","281470738145948","PUB","US","United States of America","Virginia","Ashburn","Amazon Technologies Inc.","amazon.com"
"281470738189697","281470738189697","PUB","US","United States of America","Virginia","Ashburn","Amazon Technologies Inc.","amazon.com"
"281470738264264","281470738264276","DCH","US","United States of America","Virginia","Ashburn","Amazon Technologies Inc.","amazon.com"
"281470738317043","281470738317043","PUB","US","United States of America","Virginia","Ashburn","Amazon Technologies Inc.","amazon.com"
"281470738369989","281470738369989","PUB","CA","Canada","Quebec","Montreal","Amazon Data Services Canada","amazon.com"
"281470738404722","281470738404722","PUB","CA","Canada","Quebec","Montreal","Amazon Data Services Canada","amazon.com"
"281470738417427","281470738417427","PUB","CA","Canada","Quebec","Montreal","Amazon Data Services Canada","amazon.com"
"281470738450200","281470738450200","PUB","CA","Canada","Quebec","Montreal","Amazon Data Services Canada","amazon.com"
"281470738533748","281470738533780","DCH","CA","Canada","Quebec","Montreal","Amazon Data Services Canada","amazon.com"
"281470738600720","281470738600733","DCH","CA","Canada","Quebec","Montreal","Amazon Data Services Canada","amazon.com"
"281470738611940","281470738611984","DCH","CA","Canada","Quebec","Montreal","Amazon Data Services Canada","amazon.com"
"281470738697326","281470738697341","DCH","US","United States of America","California","San Francisco","Amazon.com Inc.","amazon.com"
"281470738712808","281470738712808","PUB","US","United States of America","California","San Francisco","Amazon.com Inc.","amazon.com"
"281470738724296","281470738724305","DCH","US","United States of America","California","San Francisco","Amazon.com Inc.","amazon.com"
"281470738763387","281470738763387","PUB","NZ","New Zealand","Auckland","Auckland","Amazon Technologies Inc.","amazon.com"
"281470738811025","281470738811025","PUB","NZ","New Zealand","Auckland","Auckland","Amazon Technologies Inc.","amazon.com"
"281470738843560","281470738843560","PUB","NZ","New Zealand","Auckland","Auckland","Amazon Technologies Inc.","amazon.com"
"281470738920565","281470738920565","PUB","AU","Australia","New South Wales","Sydney","Amazon Corporate Services Pty Ltd","amazon.com"
"281470739076749","281470739076876","DCH","AU","Australia","New South Wales","Sydney","Amazon Corporate Services Pty Ltd","amazon.com"
"281470739102129","281470739102133","DCH","AU","Australia","New South Wales","Sydney","Amazon Corporate Services Pty Ltd","amazon.com"
"281470739138979","281470739139035","DCH","AU","Australia","New South Wales","Sydney","Amazon Corporate Services Pty Ltd","amazon.com"
"281470739208131","281470739208131","PUB","IN","India","Maharashtra","Mumbai","Amazon Data Services India","amazon.com"
