"281470710271210","281470710271210","RES","PS","Palestine, State of","Nablus","Nablus","Palestine Telecommunications Company","paltel.net","ISP/MOB","12975","Palestine Telecommunications Company (Paltel)","17","-","-","44"
"281470710812936","281470710812936","RES","IN","India","Maharashtra","Vilad","Idea Cellular Limited","ideacellular.com","MOB","45271","Vodafone Idea Ltd","9","-","-","52"
"281470710833308","281470710833308","RES","IN","India","Haryana","Shahabad","Idea Cellular Limited","ideacellular.com","MOB","45271","Vodafone Idea Ltd","22","-","-","39"
"281470710836862","281470710836862","RES","IN","India","Haryana","Radaur","Idea Cellular Limited","ideacellular.com","MOB","45271","Vodafone Idea Ltd","11","-","-","50"
"281470711414046","281470711414046","RES","CN","China","Henan","Luoyang","Henan Telecom Corporation","chinatelecom.com.cn","ISP","4134","China Telecom","18","-","-","43"
"281470712897069","281470712897069","RES","KR","Korea (the Republic of)","Busan-gwangyeoksi","Busan","LG Dacom Corporation","uplus.co.kr","ISP/MOB","3786","LG Dacom Corporation","22","-","-","39"
"281470714133600","281470714133600","RES","KR","Korea (the Republic of)","Seoul-teukbyeolsi","Seoul","SK Broadband Co Ltd","skbroadband.com","ISP","9318","SK Broadband Co Ltd","11","-","-","50"
"281470715353889","281470715354669","DCH","US","United States of America","Virginia","Redwood","Oracle Svenska AB","oracle.com","DCH","15519","Oracle Svenska AB","1","-","-","3"
"281470715995890","281470715995890","RES","FR","France","Bretagne","Guiscriff","Orange S.A.","orange.com","ISP/MOB","3215","Orange S.A.","7","-","-","54"
"281470716309224","281470716309224","RES","FR","France","Ile-de-France","Issy-les-Moulineaux","Orange S.A.","orange.com","ISP/MOB","3215","Orange S.A.","14","-","-","47"
"281470716676352","281470716676607","DCH","US","United States of America","Illinois","Mount Prospect","Akamai Technologies Inc.","akamai.com","CDN","20940","Akamai International B.V.","1","-","-","3"
"281470717034240","281470717034495","DCH","GB","United Kingdom of Great Britain and Northern Ireland","England","Leicester","Vitalijs Jurkevics","acedatacenter.com","DCH","199529","Vitalijs Jurkevics","1","-","-","3"
"281470717395173","281470717395173","RES","IT","Italy","Lazio","Ripa","Vodafone Italia S.p.A.","vodafone.it","ISP/MOB","30722","Fastweb SpA","13","-","-","48"
"281470717679741","281470717679741","RES","IT","Italy","Lombardia","Milan","Statically IP Addresses Assigned to VF DSL Customers","vodafonedsl.it","ISP","30722","Fastweb SpA","27","-","-","34"
"281470717774881","281470717774881","RES","IT","Italy","Emilia-Romagna","Bologna","Statically IP Addresses Assigned to VF DSL Customers","vodafonedsl.it","ISP","30722","Fastweb SpA","18","-","-","43"
"281470717829074","281470717829074","RES","IT","Italy","Puglia","Lecce","IP Addresses Assigned to VF DSL Customers","vodafonedsl.it","ISP","30722","Fastweb SpA","28","-","-","33"
"281470717897320","281470717897320","RES","IT","Italy","Abruzzo","San Benedetto dei Marsi","IP Addresses Assigned to VF DSL Customers","vodafonedsl.it","ISP","30722","Fastweb SpA","13","-","-","48"
"281470718217368","281470718217368","RES","IT","Italy","Calabria","Mangone","IP Addresses Assigned to Mobile Customers","vodafone.it","MOB","30722","Fastweb SpA","29","-","-","32"
"281470718457643","281470718457643","RES","AE","United Arab Emirates","Ash Shariqah","Sharjah","Emirates Telecommunications Group Company (Etisalat Group) PJSC","etisalat.ae","ISP/MOB","5384","Emirates Telecommunications Group Company (Etisalat Group) PJSC","23","-","Webshare","38"
"281470718503741","281470718503741","RES","AE","United Arab Emirates","Ash Shariqah","Diba","Emirates Telecommunications Group Company (Etisalat Group) PJSC","etisalat.ae","ISP/MOB","5384","Emirates Telecommunications Group Company (Etisalat Group) PJSC","9","-","-","52"
