"281470710836438","281470710836438","RES","IN","India","Haryana","Fatehabad","Idea Cellular Limited","ideacellular.com","MOB","45271","Vodafone Idea Ltd","29","-","-"
"281470711267336","281470711267336","RES","CN","China","Henan","Kaifeng","Henan Telecom Corporation","chinatelecom.com.cn","ISP","4134","China Telecom","28","-","-"
"281470712005628","281470712005628","RES","CN","China","Guizhou","Bijie","ChinaNet Guizhou Province Network","chinatelecom.com.cn","ISP/MOB","4134","China Telecom","2","-","-"
"281470713898645","281470713898645","RES","KR","Korea (the Republic of)","Seoul-teukbyeolsi","Seoul","SK Broadband Co Ltd","skbroadband.com","ISP","9318","SK Broadband Co Ltd","15","-","-"
"281470715114683","281470715114683","RES","KR","Korea (the Republic of)","Gyeongsangnam-do","Changwon","SK Broadband Co Ltd","skbroadband.com","ISP","9318","SK Broadband Co Ltd","27","-","-"
"281470715901541","281470715901541","RES","FR","France","Provence-Alpes-Cote-d'Azur","Plan-de-Cuques","Orange S.A.","orange.com","ISP/MOB","3215","Orange S.A.","17","-","Webshare"
"281470716182980","281470716182980","RES","FR","France","Bretagne","Rennes","Orange S.A.","orange.com","ISP/MOB","3215","Orange S.A.","14","-","-"
"281470716544971","281470716544971","DCH","BE","Belgium","Brussels Hoofdstedelijk Gewest","Brussels","Akamai International BV","akamai.com","CDN","32787","Akamai Technologies Inc.","1","-","-"
"281470717002876","281470717002876","PUB","DE","Germany","Sachsen","Mittel Horka","Play2Go International Limited","play2go.cloud","DCH","203154","Mitelis Security Limited","30","-","-"
"281470717025653","281470717025655","DCH","SE","Sweden","Stockholms lan","Stockholm","Serv.Host Group Ltd","serv.host","DCH","207957","Serv.Host Group Ltd","1","-","-"
"281470717068723","281470717068723","DCH","PL","Poland","Mazowieckie","Warsaw","Great Flower","aeza.network","DCH","202226","Emil Vitukhnovskii Trading As Great Flower","20","SCANNER","-"
"281470717081958","281470717081960","DCH","PL","Poland","Mazowieckie","Warsaw","Hostoff Limited","hostoff.net","DCH","207513","LLC Hostoff CSL","1","-","-"
"281470717117869","281470717117869","DCH","GB","United Kingdom of Great Britain and Northern Ireland","England","Saint Albans","Internet Utilities Europe and Asia Limited","cyberassets.ae","DCH","3257","GTT Communications Inc.","1","-","-"
"281470717533134","281470717533134","RES","IT","Italy","Liguria","Doria","IP Addresses Assigned to VF DSL Customers","vodafonedsl.it","ISP","30722","Fastweb SpA","24","-","-"
"281470717682232","281470717682232","RES","IT","Italy","Lombardia","Bergamo","Statically IP Addresses Assigned to VF DSL Customers","vodafonedsl.it","ISP","30722","Fastweb SpA","27","-","-"
"281470717775300","281470717775300","RES","IT","Italy","Emilia-Romagna","Modena","Statically IP Addresses Assigned to VF DSL Customers","vodafonedsl.it","ISP","30722","Fastweb SpA","29","-","-"
"281470717839657","281470717839657","RES","IT","Italy","Puglia","Barletta","IP Addresses Assigned to VF DSL Customers","vodafonedsl.it","ISP","30722","Fastweb SpA","25","-","-"
"281470717890456","281470717890456","RES","IT","Italy","Toscana","Florence","IP Addresses Assigned to VF DSL Customers","vodafonedsl.it","ISP","30722","Fastweb SpA","29","-","-"
"281470718216750","281470718216750","RES","IT","Italy","Sicilia","Siracusa","IP Addresses Assigned to Mobile Customers","vodafone.it","MOB","30722","Fastweb SpA","21","-","-"
"281470718438501","281470718438501","RES","IT","Italy","Lazio","Rome","Vodafone Italia S.p.A.","vodafone.it","ISP/MOB","30722","Fastweb SpA","10","-","-"
"281470718482747","281470718482747","RES","AE","United Arab Emirates","Ash Shariqah","Sharjah","Emirates Telecommunications Group Company (Etisalat Group) PJSC","etisalat.ae","ISP/MOB","5384","Emirates Telecommunications Group Company (Etisalat Group) PJSC","9","-","-"
"281470718506375","281470718506375","RES","AE","United Arab Emirates","Dubayy","Dubai","Emirates Telecommunications Group Company (Etisalat Group) PJSC","etisalat.ae","ISP/MOB","5384","Emirates Telecommunications Group Company (Etisalat Group) PJSC","16","-","Webshare"
"281470718519826","281470718519826","RES","AE","United Arab Emirates","Dubayy","Dubai","Emirates Telecommunications Group Company (Etisalat Group) PJSC","etisalat.ae","ISP/MOB","5384","Emirates Telecommunications Group Company (Etisalat Group) PJSC","17","-","-"
"281470718533604","281470718533604","RES","AE","United Arab Emirates","Dubayy","Dubai","Emirates Telecommunications Group Company (Etisalat Group) PJSC","etisalat.ae","ISP/MOB","5384","Emirates Telecommunications Group Company (Etisalat Group) PJSC","25","-","-"
"281470718552089","281470718552089","RES","AE","United Arab Emirates","Dubayy","Dubai","Emirates Telecommunications Group Company (Etisalat Group) PJSC","etisalat.ae","ISP/MOB","5384","Emirates Telecommunications Group Company (Etisalat Group) PJSC","4","-","-"
"281470718569194","281470718569194","RES","AE","United Arab Emirates","Ash Shariqah","Sharjah","Emirates Telecommunications Group Company (Etisalat Group) PJSC","etisalat.ae","ISP/MOB","5384","Emirates Telecommunications Group Company (Etisalat Group) PJSC","22","-","Webshare"
"281470718583731","281470718583731","RES","AE","United Arab Emirates","Dubayy","Dubai","Emirates Telecommunications Group Company (Etisalat Group) PJSC","etisalat.ae","ISP/MOB","5384","Emirates Telecommunications Group Company (Etisalat Group) PJSC","27","-","-"
"281470718598399","281470718598399","RES","AE","United Arab Emirates","Abu Zaby","Al Ain","Emirates Telecommunications Group Company (Etisalat Group) PJSC","etisalat.ae","ISP/MOB","5384","Emirates Telecommunications Group Company (Etisalat Group) PJSC","22","-","-"
"281470718609343","281470718609343","RES","AE","United Arab Emirates","Abu Zaby","Ar Ruways","Emirates Telecommunications Group Company (Etisalat Group) PJSC","etisalat.ae","ISP/MOB","5384","Emirates Telecommunications Group Company (Etisalat Group) PJSC","14","-","-"
"281470718624014","281470718624014","RES","AE","United Arab Emirates","Abu Zaby","Abu Dhabi","Emirates Telecommunications Group Company (Etisalat Group) PJSC","etisalat.ae","ISP/MOB","5384","Emirates Telecommunications Group Company (Etisalat Group) PJSC","13","-","-"
"281470718639822","281470718639822","RES","AE","United Arab Emirates","Abu Zaby","Abu Dhabi","Emirates Telecommunications Group Company (Etisalat Group) PJSC","etisalat.ae","ISP/MOB","5384","Emirates Telecommunications Group Company (Etisalat Group) PJSC","14","-","-"
"281470718652260","281470718652260","RES","AE","United Arab Emirates","Dubayy","Dubai","Emirates Telecommunications Group Company (Etisalat Group) PJSC","etisalat.ae","ISP/MOB","5384","Emirates Telecommunications Group Company (Etisalat Group) PJSC","17","-","-"
"281470718672610","281470718672610","RES","AE","United Arab Emirates","Dubayy","Dubai","Emirates Telecommunications Group Company (Etisalat Group) PJSC","etisalat.ae","ISP/MOB","5384","Emirates Telecommunications Group Company (Etisalat Group) PJSC","27","-","-"
"281470718690423","281470718690423","RES","AE","United Arab Emirates","Umm al Qaywayn","Umm Al Quwain","Emirates Telecommunications Group Company (Etisalat Group) PJSC","etisalat.ae","ISP/MOB","5384","Emirates Telecommunications Group Company (Etisalat Group) PJSC","28","-","-"
"281470718837274","281470718837274","RES","IL","Israel","HaMerkaz","Petah Tikva","Partner Communications Ltd.","partner.co.il","ISP/MOB","12400","Partner Communications Ltd.","1","-","-"
"281470718871811","281470718871811","RES","IL","Israel","Yerushalayim","Jerusalem","Partner Communications Ltd.","partner.co.il","ISP/MOB","12400","Partner Communications Ltd.","17","-","-"
"281470718973630","281470718973630","VPN","US","United States of America","Washington","Seattle","Isomedia Inc.","isomedia.com","DCH","10557","Connect Northwest Internet Services LLC","22","-","-"
"281470719012608","281470719012863","VPN","HR","Croatia","Grad Zagreb","Zagreb","WorkTitans B.V.","pq.hosting","DCH","34775","LVNET Ltd","1","-","-"
"281470719038491","281470719038491","PUB","US","United States of America","Alabama","Abbeville","Cyber Assets Fzco","cyberassets.ae","DCH","396362","Leaseweb USA Inc.","10","-","-"
"281470719058032","281470719058032","RES","KZ","Kazakhstan","Astana","Astana","JSC Transtelecom","intelbi.ru","ISP","41798","JSC Transtelecom","27","-","-"
