"281470730333632","281470730333639","IT","Italy","Emilia-Romagna","Spilamberto","44.534260","11.019500","Globalcarni","fastwebnet.it","-","-","-","COM"
"281470731191552","281470731191807","DE","Germany","Brandenburg","Potsdam","52.396428","13.057829","Telefonica Germany GmbH & Co. OHG","telefonica.de","262","07","O2","ISP/MOB"
"281470732073336","281470732073337","US","United States of America","New York","New York City","40.713192","-74.006065","Arelion Sweden AB","arelion.com","-","-","-","DCH"
"281470737323136","281470737329575","US","United States of America","Virginia","Ashburn","39.039474","-77.491809","Amazon Technologies Inc.","amazon.com","-","-","-","DCH"
"281470748852418","281470748852418","US","United States of America","Mississippi","Jackson","32.298760","-90.184810","Level 3 Communications Inc.","level3.com","-","-","-","DCH"
"281470748890234","281470748892960","US","United States of America","Georgia","Atlanta","33.748795","-84.387543","Level 3 Communications Inc.","level3.com","-","-","-","DCH"
"281470748933730","281470748933744","US","United States of America","District of Columbia","Washington","38.895390","-77.039476","Level 3 Communications Inc.","level3.com","-","-","-","DCH"
"281470748947770","281470748947800","CA","Canada","Ontario","Toronto","43.653661","-79.382924","Level 3 Communications Inc.","level3.com","-","-","-","DCH"
"281470748972800","281470748972808","US","United States of America","Illinois","Chicago","41.875772","-87.620606","Level 3 Communications Inc.","level3.com","-","-","-","DCH"
"281470749130240","281470749130495","US","United States of America","Georgia","Atlanta","33.748795","-84.387543","Level 3 Communications Inc.","level3.com","-","-","-","DCH"
"281470749337255","281470749337256","US","United States of America","California","San Diego","32.733975","-117.144544","Level 3 Communications Inc.","level3.com","-","-","-","DCH"
"281470749621760","281470749622527","US","United States of America","Georgia","Atlanta","33.748795","-84.387543","Level 3 Communications Inc.","level3.com","-","-","-","DCH"
"281470749798483","281470749798517","US","United States of America","Colorado","Denver","39.739359","-104.983595","Level 3 Communications Inc.","level3.com","-","-","-","DCH"
"281470749841290","281470749841344","US","United States of America","Louisiana","Monroe","32.524505","-92.128516","Level 3 Communications Inc.","level3.com","-","-","-","DCH"
"281470749908521","281470749908522","US","United States of America","California","Tustin","33.745754","-117.826218","Level 3 Communications Inc.","level3.com","-","-","-","DCH"
"281470749945537","281470749945537","US","United States of America","Washington","Seattle","47.604309","-122.329845","Level 3 Communications Inc.","level3.com","-","-","-","DCH"
"281470750033088","281470750033151","US","United States of America","Utah","Salt Lake City","40.760780","-111.891050","Level 3 Communications Inc.","level3.com","-","-","-","DCH"
"281470750186643","281470750186720","US","United States of America","Georgia","Atlanta","33.748795","-84.387543","Level 3 Communications Inc.","level3.com","-","-","-","DCH"
"281470750356480","281470750356735","US","United States of America","Louisiana","Monroe","32.524505","-92.128516","Level 3 Communications Inc.","level3.com","-","-","-","DCH"
"281470750439891","281470750439893","US","United States of America","Georgia","Atlanta","33.748795","-84.387543","Level 3 Communications Inc.","level3.com","-","-","-","DCH"
"281470750472193","281470750472193","JP","Japan","Saitama","Saitama","35.867000","139.650000","Level 3 Communications Inc.","level3.com","-","-","-","DCH"
"281470750491895","281470750491903","US","United States of America","California","Tustin","33.745754","-117.826218","Level 3 Communications Inc.","level3.com","-","-","-","DCH"
"281470750497862","281470750497864","US","United States of America","District of Columbia","Washington","38.895390","-77.039476","Level 3 Communications Inc.","level3.com","-","-","-","DCH"
"281470750501383","281470750501384","US","United States of America","District of Columbia","Washington","38.895390","-77.039476","Level 3 Communications Inc.","level3.com","-","-","-","DCH"
"281470750521629","281470750521629","US","United States of America","California","San Jose","37.339390","-121.894960","Level 3 Communications Inc.","level3.com","-","-","-","DCH"
"281470750826593","281470750826593","US","United States of America","North Carolina","Charlotte","35.227090","-80.843130","Level 3 Communications Inc.","level3.com","-","-","-","DCH"
"281470750920490","281470750920504","US","United States of America","Oklahoma","Tulsa","36.153980","-95.992780","Level 3 Communications Inc.","level3.com","-","-","-","DCH"
"281470751039969","281470751039973","US","United States of America","Georgia","Atlanta","33.748795","-84.387543","Level 3 Communications Inc.","level3.com","-","-","-","DCH"
"281470751147645","281470751147646","US","United States of America","North Carolina","Charlotte","35.227090","-80.843130","Level 3 Communications Inc.","level3.com","-","-","-","DCH"
"281470751236514","281470751236536","US","United States of America","Ohio","Cincinnati","39.162000","-84.456890","Level 3 Communications Inc.","level3.com","-","-","-","DCH"
"281470751367963","281470751367968","US","United States of America","Florida","Tampa","27.947520","-82.458430","Sercin Industries LLC","eoni.com","-","-","-","COM"
"281470751609179","281470751609180","US","United States of America","Missouri","Kansas City","39.099730","-94.578570","Verizon","verizon.com","310","004/005/006/012","Verizon","ISP/MOB"
"281470751692705","281470751692706","US","United States of America","Texas","Austin","30.267150","-97.743130","Level 3 Communications Inc.","level3.com","-","-","-","DCH"
"281470752085137","281470752085138","US","United States of America","Arkansas","Little Rock","34.746480","-92.289590","Level 3 Communications Inc.","level3.com","-","-","-","DCH"
"281470752366513","281470752366513","US","United States of America","Washington","Seattle","47.604309","-122.329845","Level 3 Communications Inc.","level3.com","-","-","-","DCH"
"281470752740049","281470752740049","US","United States of America","Florida","Miami","25.774270","-80.193600","Level 3 Communications Inc.","level3.com","-","-","-","DCH"
"281470753311883","281470753311898","US","United States of America","Florida","Tampa","27.947520","-82.458430","Level 3 Communications Inc.","level3.com","-","-","-","DCH"
"281470753325019","281470753325020","US","United States of America","Georgia","Atlanta","33.748795","-84.387543","Level 3 Communications Inc.","level3.com","-","-","-","DCH"
"281470753341363","281470753341368","US","United States of America","Georgia","Atlanta","33.748795","-84.387543","Level 3 Communications Inc.","level3.com","-","-","-","DCH"
"281470753410531","281470753410544","US","United States of America","District of Columbia","Washington","38.895390","-77.039476","Level 3 Communications Inc.","level3.com","-","-","-","DCH"
"281470753425498","281470753425498","US","United States of America","Washington","Seattle","47.604309","-122.329845","Level 3 Communications Inc.","level3.com","-","-","-","DCH"
"281470753430419","281470753430420","US","United States of America","Louisiana","Monroe","32.524505","-92.128516","Level 3 Communications Inc.","level3.com","-","-","-","DCH"
"281470753437743","281470753437743","CA","Canada","Quebec","Montreal","45.508840","-73.587810","Level 3 Communications Inc.","level3.com","-","-","-","DCH"
"281470753882368","281470753885695","US","United States of America","Georgia","Atlanta","33.748795","-84.387543","Level 3 Communications Inc.","level3.com","-","-","-","DCH"
"281470754143488","281470754143743","US","United States of America","Louisiana","Monroe","32.524505","-92.128516","Level 3 Communications Inc.","level3.com","-","-","-","DCH"
"281470755872768","281470755873023","US","United States of America","Louisiana","Monroe","32.524505","-92.128516","Level 3 Communications Inc.","level3.com","-","-","-","DCH"
"281470765642496","281470765642751","SY","Syrian Arab Republic","Al Ladhiqiyah","Latakia","35.514841","35.776731","Syrian Telecommunication Private Closed Joint Stock Company","syriantelecom.sy","-","-","-","ISP"
"281470766121192","281470766121199","DE","Germany","Nordrhein-Westfalen","Troisdorf","50.809010","7.149680","MVZ Pathologie & Zytologie Rhein-Sieg GmbH","telefonica.de","-","-","-","COM"
"281470766129528","281470766129535","DE","Germany","Hamburg","Hamburg","53.575254","10.014778","This Space is Statically Assigned","vodafone.com","-","-","-","ISP"
"281470766142376","281470766142383","DE","Germany","Hamburg","Hamburg","53.575254","10.014778","Krankenhaus Jerusalem GmbH","jerusalem-hamburg.de","-","-","-","COM"
"281470766151096","281470766151103","DE","Germany","Nordrhein-Westfalen","Dortmund","51.514940","7.466000","Kuhne + Nagel (AG & Co.) KG","kuehne-nagel.com","-","-","-","COM"
"281470766238669","281470766238670","DE","Germany","Sachsen","Falkenstein","50.477850","12.371563","Timme Hosting GmbH & Co. KG","timmehosting.de","-","-","-","DCH"
"281470766279667","281470766279667","DE","Germany","Sachsen","Falkenstein","50.477850","12.371563","Marcel Ruff","netwakevision.com","-","-","-","DCH"
"281470766486016","281470766486783","RO","Romania","Bacau","Bacau","46.566670","26.900000","Digi Romania S.A.","rcs-rds.ro","226","05","Digi.Mobil/DIGI","ISP/MOB"
"281470767107058","281470767107059","GB","United Kingdom of Great Britain and Northern Ireland","England","Gateshead","54.962090","-1.601680","Aspire Technology Solutions Ltd","aspire-ts.com","-","-","-","DCH"
"281470767587584","281470767588095","IL","Israel","Tel Aviv","Tel Aviv","32.080899","34.781226","Hot-Net Internet Services Ltd.","hot.net.il","425","07","Hot Mobile","ISP/MOB"
"281470768154880","281470768155391","HU","Hungary","Nograd","Balassagyarmat","48.072960","19.296140","Magyar Telekom","telekom.hu","216","30","Telekom","ISP/MOB"
"281470768213048","281470768213123","FR","France","Hauts-de-France","Roubaix","50.693712","3.174439","OVH SAS","ovh.com","-","-","-","DCH"
"281470768480000","281470768480255","BA","Bosnia and Herzegovina","Federacija Bosne i Hercegovine","Gromiljak","43.966670","18.053060","Telemach BH d.o.o. Sarajevo","telemach.ba","-","-","-","ISP"
"281470768781568","281470768782847","FR","France","Occitanie","Perpignan","42.697680","2.895488","Bouygues Telecom SA","bouyguestelecom.fr","208","20/21/88","Bouygues","ISP/MOB"
"281470769149696","281470769149951","BG","Bulgaria","Sofia (stolitsa)","Sofia","42.697510","23.324150","A1 Bulgaria EAD","mobiltel.bg","284","01","A1 BG","MOB"
"281470769344768","281470769345023","DE","Germany","Baden-Wurttemberg","Heidelberg","49.416381","8.717336","Vodafone West GmbH","unitymedia.de","-","-","-","ISP"
"281470769747200","281470769747711","IR","Iran (Islamic Republic of)","Tehran","Behdasht","35.657110","51.337940","Rightel Communication Service Company PJS","rightel.ir","432","20","RighTel","MOB"
"281470769787320","281470769787327","KZ","Kazakhstan","Astana","Astana","51.180100","71.445980","JSC Kazakhtelecom","telecom.kz","401","07","Altel","ISP/MOB"
"281470769985024","281470769985279","GB","United Kingdom of Great Britain and Northern Ireland","Scotland","Harthill","55.866670","-3.750000","Sky UK Limited","sky.com","234","57","Sky Mobile","ISP/MOB"
"281470770318848","281470770319103","GB","United Kingdom of Great Britain and Northern Ireland","Northern Ireland","The Diamond","54.383330","-6.116670","Sky UK Limited","sky.com","234","57","Sky Mobile","ISP/MOB"
"281470770996480","281470770996735","GB","United Kingdom of Great Britain and Northern Ireland","England","London","51.508530","-0.125740","British Telecommunications Limited","bt.com","234","00/76","BT","ISP/MOB"
"281470771556864","281470771557119","IT","Italy","Emilia-Romagna","Parma","44.802688","10.328847","Vodafone Italia S.p.A.","vodafone.it","222","10","Vodafone","ISP/MOB"
"281470771923712","281470771923719","IT","Italy","Puglia","Giuliano","39.848830","18.336720","Eclisse Retail S.p.A.","telecomitalia.it","-","-","-","COM"
"281470771939696","281470771939699","IT","Italy","Calabria","Anna","37.926530","15.753710","Farmacia Tocchetto Dr. Anna","telecomitalia.it","-","-","-","COM"
"281470771949520","281470771949551","IT","Italy","Lazio","Rome","41.894253","12.484253","Toyota Motor Italia S.p.A.","toyota.it","-","-","-","COM"
"281470771966968","281470771966971","IT","Italy","Friuli-Venezia Giulia","Pordenone","45.963877","12.657577","DK","dk.com","-","-","-","COM"
"281470771995072","281470771995087","IT","Italy","Friuli-Venezia Giulia","Trieste","45.648610","13.780119","Samer Co. Shipping SRL","samer.com","-","-","-","COM"
"281470772033732","281470772033735","IT","Italy","Lombardia","Milan","45.464336","9.188547","Telecom Italia S.p.A.","telecomitalia.it","222","01","TIM","ISP/MOB"
"281470772057344","281470772057375","IT","Italy","Sardegna","Oristano","39.903167","8.592073","Associazione Regionale Allevatori della Sardegna","telecomitalia.it","-","-","-","COM"
"281470772073752","281470772073759","IT","Italy","Marche","Strada","43.403370","13.220770","IRD SRL","telecomitalia.it","-","-","-","COM"
"281470772089464","281470772089471","IT","Italy","Lombardia","Milan","45.464336","9.188547","Telecom Italia S.p.A.","telecomitalia.it","222","01","TIM","ISP/MOB"
"281470772107124","281470772107127","IT","Italy","Sicilia","Messina","38.193271","15.549853","Lisitano S.r.l.","telecomitalia.it","-","-","-","COM"
"281470772131280","281470772131283","IT","Italy","Calabria","Vibo Valentia","38.674280","16.095100","Diemmecom Societa' Editoriale - SRL Con Unico Socio","telecomitalia.it","-","-","-","COM"
"281470772148592","281470772148599","IT","Italy","Trentino-Alto Adige","Marche","47.020450","12.038480","Aziendasanseverinomarchespapiubrevementeassemspa","telecomitalia.it","-","-","-","COM"
"281470772166712","281470772166727","IT","Italy","Lombardia","Milan","45.464336","9.188547","Telecom Italia S.p.A.","telecomitalia.it","222","01","TIM","ISP/MOB"
"281470772245760","281470772246015","RU","Russian Federation","Moskva","Moscow","55.752259","37.615470","Repro Net","repropark.ru","-","-","-","COM"
"281470772368384","281470772368639","IL","Israel","Hefa","Haifa","32.815560","34.989170","XFone 018 Ltd","018.co.il","425","18","Cellact Communications","MOB"
"281470772862976","281470772863231","SA","Saudi Arabia","Makkah al Mukarramah","Jeddah","21.516940","39.219170","Etihad Etisalat a Joint Stock Company","mobily.com.sa","420","03","Mobily","MOB"
"281470773317120","281470773317631","IR","Iran (Islamic Republic of)","Tehran","Tehran","35.694240","51.421310","Iran Cell Service and Communication Company","irancell.ir","432","35","MTN Irancell","ISP/MOB"
"281470773714944","281470773715199","IR","Iran (Islamic Republic of)","Esfahan","Isfahan","32.657220","51.677610","Iran Cell Service and Communication Company","irancell.ir","432","35","MTN Irancell","ISP/MOB"
"281470774147072","281470774147327","RU","Russian Federation","Novosibirskaya oblast'","Novosibirsk","55.041736","82.934499","Novotelecom Ltd","novotelecom.ru","-","-","-","ISP"
"281470774400560","281470774400567","SE","Sweden","Stockholms lan","Stockholm","59.332748","18.064841","Internet Vikings International AB","internetvikings.com","-","-","-","DCH"
"281470774484796","281470774484799","FR","France","Ile-de-France","Paris","48.859078","2.293486","OVH SAS","ovh.com","-","-","-","DCH"
"281470774528944","281470774528959","PT","Portugal","Braga","Braga","41.549952","-8.419867","OVH SAS","ovh.com","-","-","-","DCH"
"281470774743808","281470774744063","RU","Russian Federation","Volgogradskaya oblast'","Surovikino","48.607340","42.846210","OJSC Rostelecom","rostelecom.ru","250","20","t2","ISP/MOB"
"281470775114551","281470775114551","IT","Italy","Friuli-Venezia Giulia","Grado","45.678610","13.386940","Lepida S.c.p.A.","lepida.it","-","-","-","DCH"
"281470775494208","281470775494211","IT","Italy","Emilia-Romagna","San Giovanni","44.850000","10.866670","Retelit Digital Services S.p.A.","retelit.it","-","-","-","ISP"
"281470775754752","281470775755775","GB","United Kingdom of Great Britain and Northern Ireland","England","London","51.508530","-0.125740","China Telecom Europe Ltd.","chinatelecomeurope.com","-","-","-","DCH"
"281470775944471","281470775944471","IT","Italy","Marche","Strada","43.403370","13.220770","LO2344-RIPE NET","eolo.it","-","-","-","COM"
"281470776199944","281470776200166","US","United States of America","Virginia","Ashburn","39.039474","-77.491809","Hetzner Online GmbH","hetzner.de","-","-","-","DCH"
"281470776794112","281470776795135","IT","Italy","Lazio","Rome","41.894253","12.484253","TIM","telecomitalia.it","222","01","TIM","ISP/MOB"
