"281470749780753","281470749780753","DCH","US","United States of America","California","Tustin","Level 3 Communications Inc."
"281470749811855","281470749811967","DCH","US","United States of America","Ohio","Cincinnati","Level 3 Communications Inc."
"281470749858969","281470749858969","DCH","US","United States of America","New York","Buffalo","Level 3 Communications Inc."
"281470749913269","281470749913269","DCH","CA","Canada","Ontario","Toronto","Level 3 Communications Inc."
"281470749949470","281470749949470","DCH","US","United States of America","Georgia","Atlanta","Level 3 Communications Inc."
"281470750117376","281470750117695","DCH","US","United States of America","Minnesota","Minneapolis","Level 3 Communications Inc."
"281470750437163","281470750437165","DCH","US","United States of America","Louisiana","Monroe","Level 3 Communications Inc."
"281470750461518","281470750461524","DCH","US","United States of America","Louisiana","Monroe","Level 3 Communications Inc."
"281470750484992","281470750485324","DCH","US","United States of America","California","San Jose","Level 3 Communications Inc."
"281470750504174","281470750504174","DCH","US","United States of America","Florida","Tampa","Level 3 Communications Inc."
"281470750567053","281470750567054","DCH","US","United States of America","Ohio","Cleveland","Level 3 Communications Inc."
"281470750855424","281470750855565","DCH","US","United States of America","California","San Francisco","Level 3 Communications Inc."
"281470750930176","281470750930212","DCH","US","United States of America","Florida","Tampa","Level 3 Communications Inc."
"281470751044030","281470751044033","DCH","US","United States of America","Colorado","Broomfield","Level 3 Communications Inc."
"281470751163640","281470751163647","DCH","US","United States of America","California","San Jose","Level 3 Communications Inc."
"281470751255860","281470751256601","DCH","US","United States of America","Louisiana","Monroe","Level 3 Communications Inc."
"281470751394950","281470751394950","PUB","US","United States of America","Arizona","Phoenix","Level 3 Communications Inc."
"281470751677551","281470751678463","DCH","US","United States of America","Georgia","Atlanta","Level 3 Communications Inc."
"281470752348815","281470752348927","DCH","US","United States of America","New York","New York City","Level 3 Communications Inc."
"281470752757777","281470752757777","DCH","US","United States of America","North Carolina","Charlotte","Level 3 Communications Inc."
"281470753318673","281470753318673","DCH","US","United States of America","California","San Jose","Level 3 Communications Inc."
"281470753329043","281470753329045","DCH","US","United States of America","Colorado","Broomfield","Level 3 Communications Inc."
"281470753408053","281470753408054","DCH","US","United States of America","North Carolina","Charlotte","Level 3 Communications Inc."
"281470753416258","281470753416260","DCH","US","United States of America","Colorado","Denver","Level 3 Communications Inc."
"281470753427659","281470753427660","DCH","US","United States of America","Louisiana","Monroe","Level 3 Communications Inc."
"281470753433297","281470753433298","DCH","US","United States of America","Texas","Dallas","Level 3 Communications Inc."
"281470753541866","281470753541887","DCH","US","United States of America","California","San Diego","Level 3 Communications Inc."
"281470754061056","281470754061289","DCH","US","United States of America","Arizona","Phoenix","Level 3 Communications Inc."
"281470758335315","281470758336962","DCH","SG","Singapore","Singapore","Singapore","Microsoft Corporation"
"281470761244922","281470761244922","PUB","JP","Japan","Tokyo","Tokyo","Microsoft Corporation"
"281470762868974","281470762872831","DCH","IN","India","Maharashtra","Pune","Microsoft Corporation"
"281470764147280","281470764147280","PUB","FR","France","Ile-de-France","Paris","Microsoft Corporation"
"281470765125509","281470765125509","PUB","CA","Canada","Quebec","Quebec","Microsoft Corporation"
"281470765722368","281470765722624","DCH","IQ","Iraq","Baghdad","Baghdad","Optimal Solutions Technology Company for information Technology and software solutions Ltd"
"281470766165497","281470766165497","PUB","RU","Russian Federation","Sankt-Peterburg","Saint Petersburg","Petersburg Internet Network Ltd."
"281470766228006","281470766228006","DCH","DE","Germany","Sachsen","Falkenstein","Timme Hosting GmbH & Co. KG"
"281470766263464","281470766263474","DCH","DE","Germany","Sachsen","Falkenstein","Hetzner Online GmbH"
"281470766292736","281470766292819","DCH","GB","United Kingdom of Great Britain and Northern Ireland","England","Reading","Amito Ltd"
"281470767120448","281470767120513","DCH","IR","Iran (Islamic Republic of)","Sistan va Baluchestan","Sabz","Dadeh Pardazan Sabz Alborz Co.(P.J.S.)"
"281470767913551","281470767913551","VPN","US","United States of America","California","Los Angeles","Akari Networks Limited"
"281470767956276","281470767956276","PUB","RU","Russian Federation","Severnaya Osetiya, Respublika","Vladikavkaz","Limited Liability Company Irtelcom"
"281470767960300","281470767960300","DCH","RU","Russian Federation","Severnaya Osetiya, Respublika","Vladikavkaz","Limited Liability Company Irtelcom"
"281470767963229","281470767963230","PUB","RU","Russian Federation","Severnaya Osetiya, Respublika","Vladikavkaz","Limited Liability Company Irtelcom"
"281470767974028","281470767974028","VPN","US","United States of America","Pennsylvania","California","Lunarnaut LLC"
"281470768243591","281470768243593","DCH","NL","Netherlands (Kingdom of the)","Noord-Holland","Amsterdam","DSTORAGE s.a.s."
"281470768395099","281470768395118","DCH","RU","Russian Federation","Moskovskaya oblast'","Kolomna","Rost LLC"
"281470768524813","281470768524828","DCH","PL","Poland","Mazowieckie","Warsaw","TW Cloud"
"281470769104640","281470769104689","DCH","ES","Spain","Madrid, Comunidad de","Madrid","Telefonica Global Solutions SL"
"281470769333635","281470769333636","PUB","AE","United Arab Emirates","Dubayy","Dubai","Aria Web Development LLC"
"281470769634197","281470769634197","PUB","US","United States of America","New York","Buffalo","NRP Teknoloji Limited Sirketi"
"281470770585794","281470770585845","DCH","DE","Germany","Bayern","Nuremberg","Hetzner Online GmbH"
"281470770746734","281470770746771","DCH","US","United States of America","Oregon","Hillsboro","Hetzner Online GmbH"
"281470770754702","281470770754717","DCH","US","United States of America","Oregon","Hillsboro","Hetzner Online GmbH"
"281470770764110","281470770764121","DCH","US","United States of America","Oregon","Hillsboro","Hetzner Online GmbH"
"281470770774200","281470770774200","PUB","US","United States of America","Oregon","Hillsboro","Hetzner Online GmbH"
"281470770790355","281470770790378","DCH","US","United States of America","Oregon","Hillsboro","Hetzner Online GmbH"
"281470770845428","281470770845428","PUB","RU","Russian Federation","Chelyabinskaya oblast'","Chelyabinsk","Intersvyaz-2 JSC"
"281470772284936","281470772284943","DCH","GB","United Kingdom of Great Britain and Northern Ireland","England","Coventry","POR005"
"281470772339772","281470772339772","PUB","CA","Canada","Quebec","Montreal","Super Link Communications Co. Ltd"
"281470772344721","281470772344722","DCH","TR","Turkiye","Istanbul","Istanbul","Super Link Communications Co. Ltd"
"281470774395561","281470774395562","VPN","SE","Sweden","Stockholms lan","Stockholm","Internet Vikings International AB"
"281470774483584","281470774483587","DCH","GB","United Kingdom of Great Britain and Northern Ireland","England","London","OVH SAS"
"281470774882809","281470774882809","VPN","RU","Russian Federation","Primorskiy kray","Ol'ga","Ural Branch"
"281470775417645","281470775417646","PUB","BA","Bosnia and Herzegovina","Republika Srpska","Bijeljina","Wirac.net D.O.O."
"281470775464064","281470775464064","PUB","GB","United Kingdom of Great Britain and Northern Ireland","England","London","London Grid for Learning Trust"
"281470775467804","281470775467804","PUB","GB","United Kingdom of Great Britain and Northern Ireland","England","London","London Grid for Learning Trust"
"281470775472121","281470775472123","DCH","GB","United Kingdom of Great Britain and Northern Ireland","England","London","London Grid for Learning Trust"
"281470775713440","281470775713471","DCH","GB","United Kingdom of Great Britain and Northern Ireland","England","Quebec","xilo - SH - Quebec"
"281470775932885","281470775932889","VPN","EE","Estonia","Harjumaa","Tallinn","Angelnet Limited"
"281470776010286","281470776010295","DCH","RU","Russian Federation","Moskva","Moscow","Pride LLC"
"281470776192513","281470776192533","DCH","US","United States of America","Virginia","Ashburn","Hetzner Online GmbH"
"281470776221376","281470776221376","PUB","US","United States of America","Virginia","Ashburn","Hetzner Online GmbH"
"281470777153477","281470777153477","VPN","DE","Germany","Hessen","Bad Homburg vor der Hohe","GHOSTnet GmbH"
"281470777430380","281470777430380","PUB","RU","Russian Federation","Saha, Respublika","Vilyuysk","IPX - FZCO"
"281470777461303","281470777461304","VPN","RU","Russian Federation","Moskva","Moscow","Anchorfree GmbH"
